date;event_type;fission_time;fusion_time;focus_group;group_A;group_B;group_C;direction;comments
2023-01-25;fission;12:10;;sub group (11);May, Meir, Castro, Zelenskyy, Khan, Obama, Moscoso, Cleopatra, Gandhi, Mujica, Merkel;Mandela;;B <- A;
2023-01-25;fusion;;12:15;sub group (4);Mandela; Ardern, Truss, Torrijos, Gillard;;A -> B;
2023-01-25;fission;12:26;;sub group (4);Mandela; Ardern, Truss, Torrijos, Gillard;;B <- A;
2023-01-25;fusion;;12:26;full group (15 -no Peron); Ardern, Truss, Torrijos, Gillard, Mandela;May, Meir, Castro, Zelenskyy, Khan, Obama, Moscoso, Cleopatra, Gandhi, Mujica, Merkel; ;A -> B;
2023-01-25;fission;12:59;;full group (15 -no Peron);Ardern, Merkel, Gandhi, Cleopatra, Mujica;May, Torrijos, Gillard, Zelenskyy, Moscoso, Zelenskyy, Castro, Meir, Khan, Obama; ;A <=> B;
2023-01-25;fusion;;13:06;full group (15 -no Peron);Ardern, Merkel, Gandhi, Cleopatra, Mujica;May, Torrijos, Gillard, Zelenskyy, Moscoso, Zelenskyy, Castro, Meir, Khan, Obama; ;B -> A;
2023-01-25;fission;13:24;;full group (15 -no Peron);Ardern, May, Gandhi, Merkel, Castro, Truss, Gillard, Torrijos, Mujica;Meir, Zelenskyy, Obama, Cleopatra, Moscoso, Khan; ;A <- B;
2023-01-25;fusion;;13:30;full group (15 -no Peron);Ardern, May, Gandhi, Merkel, Castro, Truss, Gillard, Torrijos, Mujica;Meir, Zelenskyy, Obama, Cleopatra, Moscoso, Khan; ;B -> A;
2023-01-25;fission;before start;;full group (15 -no Peron);Moscoso, Zelenskyy, Merkel, Cleopatra, Mujica, Gandhi, Meir, Ardern, Obama, Khan, May;Gillard, Torrijos, Truss, Peron;;;
2023-01-26;fusion;;12:16;sub group (4);Gillard, Torrijos, Truss, Peron;Mandela;;B -> A;
2023-01-26;fission;12:24;;sub group (4);Gillard, Torrijos, Truss, Peron;Mandela;;A <- B;
2023-01-26;fission;12:27;;sub group (11);Obama, Ardern, Cleopatra, Merkel, Mujica;Zelenskyy, Meir, Khan, Moscoso, Castro, May; ;A <=> B;
2023-01-26;fusion;;12:46;sub group (11);Obama, Ardern, Cleopatra, Merkel, Mujica;Zelenskyy, Meir, Khan, Moscoso, Castro, May; ;A == B;
2023-01-27;fusion;;11:55;full group (16);Meir, Peron, Torrijos, Obama, Zelenskyy, Truss, Ardern, Mujica, Cleopatra, Gillard,Castro, Gandhi, Moscoso, May, Merkel, Khan;Kenyatta;;A -> B;
2023-01-27;fission;12:02;;full group (16);Meir, Peron, Torrijos, Obama, Zelenskyy, Truss, Ardern, Mujica, Cleopatra, Gillard,Castro, Gandhi, Moscoso, May, Merkel, Khan;Kenyatta;;B <- A;
2023-01-28;fission;before start;;full group (16);Gillard, Kenyatta, Torrijos, Truss;Moscoso, Zelenskyy, Merkel, Cleopatra, Mujica, Gandhi, Meir, Ardern, Obama, Khan, May, Peron, Castro; ; ;
